candidate_id,composite_score,semantic_score,skill_score,structural_score,behavioral_score,current_title,current_company,location,years_of_experience
CAND_0081846,0.7647,0.788,0.5833,0.85,0.8655,Lead AI Engineer,Razorpay,"Jaipur, Rajasthan",6.7
CAND_0018499,0.7605,0.8253,0.4167,1.0,0.8375,Senior Machine Learning Engineer,Zomato,"Noida, Uttar Pradesh",7.2
CAND_0077337,0.7399,0.8225,0.5,0.85,0.785,Staff Machine Learning Engineer,Paytm,"Kochi, Kerala",7.0
CAND_0068351,0.7284,0.8015,0.4167,1.0,0.7185,Lead AI Engineer,Sarvam AI,"Delhi, Delhi",6.4
CAND_0006567,0.7241,0.8086,0.3333,1.0,0.789,Senior AI Engineer,Meta,"Noida, Uttar Pradesh",7.9
CAND_0066999,0.7191,0.7537,0.4167,1.0,0.7555,Recommendation Systems Engineer,Microsoft,"Delhi, Delhi",5.9
CAND_0046064,0.7128,0.7991,0.4167,0.85,0.7945,Senior NLP Engineer,Salesforce,"Coimbatore, Tamil Nadu",8.9
CAND_0046525,0.7106,0.8408,0.25,1.0,0.769,Senior Machine Learning Engineer,Genpact AI,"Pune, Maharashtra",6.1
CAND_0064326,0.7077,0.7896,0.4167,0.85,0.786,Search Engineer,Sarvam AI,"Gurgaon, Haryana",7.6
CAND_0007009,0.7075,0.765,0.4167,1.0,0.678,Recommendation Systems Engineer,Wysa,"Noida, Uttar Pradesh",7.9
CAND_0093193,0.7058,0.8083,0.3333,1.0,0.698,Senior Machine Learning Engineer,Niramai,"Bangalore, Karnataka",7.9
CAND_0027691,0.7045,0.7529,0.4167,1.0,0.684,NLP Engineer,Haptik,"Pune, Maharashtra",6.5
CAND_0071974,0.7043,0.7957,0.4167,0.85,0.758,Senior AI Engineer,Netflix,"Vizag, Andhra Pradesh",7.8
CAND_0076163,0.7039,0.766,0.4167,0.85,0.808,NLP Engineer,Ola,"Chandigarh, Chandigarh",6.9
CAND_0000031,0.7037,0.7829,0.3333,1.0,0.732,Recommendation Systems Engineer,Swiggy,"Hyderabad, Telangana",6.0
CAND_0061257,0.7027,0.8059,0.25,1.0,0.7905,Staff Machine Learning Engineer,LinkedIn,"Noida, Uttar Pradesh",8.0
CAND_0096104,0.7021,0.7598,0.3333,1.0,0.7645,AI Specialist,Yellow.ai,"Delhi, Delhi",7.0
CAND_0041669,0.7019,0.7755,0.3333,1.0,0.736,Recommendation Systems Engineer,CRED,"Noida, Uttar Pradesh",8.0
CAND_0015967,0.701,0.7698,0.3333,1.0,0.7415,Senior Software Engineer (ML),Razorpay,"Hyderabad, Telangana",5.4
CAND_0066376,0.7005,0.7668,0.4167,1.0,0.6395,Applied ML Engineer,Dream11,"Mumbai, Maharashtra",5.7
CAND_0002025,0.6994,0.8422,0.25,0.85,0.8605,Senior AI Engineer,Apple,"Trivandrum, Kerala",5.9
CAND_0011687,0.6982,0.7863,0.3333,0.85,0.8485,Senior NLP Engineer,Niramai,"Indore, Madhya Pradesh",7.8
CAND_0099401,0.6964,0.7607,0.5833,0.85,0.5715,NLP Engineer,Dream11,"Ahmedabad, Gujarat",7.7
CAND_0030031,0.6958,0.7656,0.4167,0.85,0.7685,AI Engineer,Microsoft,"Trivandrum, Kerala",5.7
CAND_0067866,0.6954,0.7839,0.25,1.0,0.793,Senior Software Engineer (ML),Tech Mahindra,"Noida, Uttar Pradesh",6.4
CAND_0053605,0.6941,0.7832,0.25,1.0,0.7875,Senior Software Engineer (ML),Verloop.io,"Noida, Uttar Pradesh",6.9
CAND_0017960,0.6935,0.7553,0.3333,1.0,0.729,Recommendation Systems Engineer,Nykaa,"Bangalore, Karnataka",7.7
CAND_0088025,0.6915,0.8161,0.3333,0.85,0.7625,Staff Machine Learning Engineer,Yellow.ai,"Jaipur, Rajasthan",8.6
CAND_0041610,0.69,0.7918,0.3333,0.85,0.7975,Recommendation Systems Engineer,Zoho,"Indore, Madhya Pradesh",6.7
CAND_0096142,0.6898,0.7645,0.3333,1.0,0.6945,Applied ML Engineer,upGrad,"Hyderabad, Telangana",5.0
CAND_0070398,0.6892,0.7793,0.5,0.85,0.6075,Machine Learning Engineer,Genpact AI,"Kochi, Kerala",7.2
