candidate_id,composite_score,semantic_score,skill_score,structural_score,behavioral_score,current_title,current_company,location,years_of_experience
CAND_0018499,0.793,0.8253,0.4167,1.0,1.0,Senior Machine Learning Engineer,Zomato,"Noida, Uttar Pradesh",7.2
CAND_0081846,0.7916,0.788,0.5833,0.85,1.0,Lead AI Engineer,Razorpay,"Jaipur, Rajasthan",6.7
CAND_0077337,0.7829,0.8225,0.5,0.85,1.0,Staff Machine Learning Engineer,Paytm,"Kochi, Kerala",7.0
CAND_0068351,0.7763,0.8015,0.4167,1.0,0.958,Lead AI Engineer,Sarvam AI,"Delhi, Delhi",6.4
CAND_0007009,0.7719,0.765,0.4167,1.0,1.0,Recommendation Systems Engineer,Wysa,"Noida, Uttar Pradesh",7.9
CAND_0066999,0.768,0.7537,0.4167,1.0,1.0,Recommendation Systems Engineer,Microsoft,"Delhi, Delhi",5.9
CAND_0027691,0.7677,0.7529,0.4167,1.0,1.0,NLP Engineer,Haptik,"Pune, Maharashtra",6.5
CAND_0006567,0.7663,0.8086,0.3333,1.0,1.0,Senior AI Engineer,Meta,"Noida, Uttar Pradesh",7.9
CAND_0075469,0.766,0.748,0.4167,1.0,1.0,Customer Support,Pied Piper,"Hyderabad, Telangana",5.4
CAND_0093193,0.7628,0.8083,0.3333,1.0,0.983,Senior Machine Learning Engineer,Niramai,"Bangalore, Karnataka",7.9
CAND_0000031,0.7573,0.7829,0.3333,1.0,1.0,Recommendation Systems Engineer,Swiggy,"Hyderabad, Telangana",6.0
CAND_0046525,0.7568,0.8408,0.25,1.0,1.0,Senior Machine Learning Engineer,Genpact AI,"Pune, Maharashtra",6.1
CAND_0041669,0.7547,0.7755,0.3333,1.0,1.0,Recommendation Systems Engineer,CRED,"Noida, Uttar Pradesh",8.0
CAND_0079764,0.7544,0.7191,0.4167,1.0,0.993,Customer Support,Pied Piper,"Delhi, Delhi",8.9
CAND_0046064,0.7539,0.7991,0.4167,0.85,1.0,Senior NLP Engineer,Salesforce,"Coimbatore, Tamil Nadu",8.9
CAND_0032919,0.7532,0.7196,0.4167,1.0,0.986,Project Manager,Stark Industries,"Delhi, Delhi",7.0
CAND_0015967,0.7527,0.7698,0.3333,1.0,1.0,Senior Software Engineer (ML),Razorpay,"Hyderabad, Telangana",5.4
CAND_0071974,0.7527,0.7957,0.4167,0.85,1.0,Senior AI Engineer,Netflix,"Vizag, Andhra Pradesh",7.8
CAND_0064326,0.7505,0.7896,0.4167,0.85,1.0,Search Engineer,Sarvam AI,"Gurgaon, Haryana",7.6
CAND_0096104,0.749,0.7598,0.3333,1.0,0.999,AI Specialist,Yellow.ai,"Delhi, Delhi",7.0
CAND_0017960,0.7477,0.7553,0.3333,1.0,1.0,Recommendation Systems Engineer,Nykaa,"Bangalore, Karnataka",7.7
CAND_0071321,0.7458,0.7631,0.3333,1.0,0.977,Senior Software Engineer,Meesho,"Bangalore, Karnataka",6.4
CAND_0061257,0.7446,0.8059,0.25,1.0,1.0,Staff Machine Learning Engineer,LinkedIn,"Noida, Uttar Pradesh",8.0
CAND_0090656,0.7444,0.6863,0.4167,1.0,1.0,Graphic Designer,Stark Industries,"Pune, Maharashtra",5.1
CAND_0070398,0.7437,0.7793,0.5,0.85,0.88,Machine Learning Engineer,Genpact AI,"Kochi, Kerala",7.2
CAND_0066376,0.7432,0.7668,0.4167,1.0,0.853,Applied ML Engineer,Dream11,"Mumbai, Maharashtra",5.7
