candidate_id,rank,score,reasoning
CAND_0081846,1,0.999,"Lead AI Engineer at Razorpay (6.7y, Jaipur, Rajasthan). Score 0.765; top skills: Data Science, Information Retrieval, LlamaIndex, pgvector. Notice 30d, response rate 73%."
CAND_0018499,2,0.9623,"Senior Machine Learning Engineer at Zomato (7.2y, Noida, Uttar Pradesh). Score 0.760; top skills: Deep Learning, Weaviate, Recommendation Systems, scikit-learn. Notice 15d, response rate 61%."
CAND_0077337,3,0.7825,"Staff Machine Learning Engineer at Paytm (7.0y, Kochi, Kerala). Score 0.740; top skills: GANs, Semantic Search, QLoRA, pgvector. Notice 60d, response rate 95%."
CAND_0068351,4,0.6822,"Lead AI Engineer at Sarvam AI (6.4y, Delhi, Delhi). Score 0.728; top skills: pgvector, Deep Learning, Qdrant, Elasticsearch. Notice 0d, response rate 86%."
CAND_0006567,5,0.6446,"Senior AI Engineer at Meta (7.9y, Noida, Uttar Pradesh). Score 0.724; top skills: Speech Recognition, scikit-learn, Search Backend, Model Adaptation. Notice 60d, response rate 79%."
CAND_0066999,6,0.601,"Recommendation Systems Engineer at Microsoft (5.9y, Delhi, Delhi). Score 0.719; top skills: Image Classification, OpenSearch, JavaScript, FAISS. Notice 15d, response rate 63%."
CAND_0046064,7,0.546,"Senior NLP Engineer at Salesforce (8.9y, Coimbatore, Tamil Nadu). Score 0.713; top skills: Python, Image Classification, OpenCV, Pinecone. Notice 30d, response rate 78%."
CAND_0046525,8,0.5268,"Senior Machine Learning Engineer at Genpact AI (6.1y, Pune, Maharashtra). Score 0.711; top skills: Elasticsearch, Redux, LangChain, Machine Learning. Notice 60d, response rate 88%."
CAND_0064326,9,0.5015,"Search Engineer at Sarvam AI (7.6y, Gurgaon, Haryana). Score 0.708; top skills: scikit-learn, PyTorch, Milvus, Deep Learning. Notice 45d, response rate 94%."
CAND_0007009,10,0.4997,"Recommendation Systems Engineer at Wysa (7.9y, Noida, Uttar Pradesh). Score 0.708; top skills: Statistical Modeling, ETL, Weaviate, Python. Notice 30d, response rate 62%."
CAND_0093193,11,0.4849,"Senior Machine Learning Engineer at Niramai (7.9y, Bangalore, Karnataka). Score 0.706; top skills: Ranking Systems, Text Encoders, Indexing Algorithms, Forecasting. Notice 45d, response rate 61%."
CAND_0027691,12,0.4736,"NLP Engineer at Haptik (6.5y, Pune, Maharashtra). Score 0.705; top skills: SAP, LoRA, PEFT, Recommendation Systems. Notice 15d, response rate 68%."
CAND_0071974,13,0.4718,"Senior AI Engineer at Netflix (7.8y, Vizag, Andhra Pradesh). Score 0.704; top skills: LoRA, Learning to Rank, Weaviate, PEFT. Notice 45d, response rate 76%."
CAND_0076163,14,0.4683,"NLP Engineer at Ola (6.9y, Chandigarh, Chandigarh). Score 0.704; top skills: Weaviate, LangChain, YOLO, Reinforcement Learning. Notice 60d, response rate 84%."
CAND_0000031,15,0.4666,"Recommendation Systems Engineer at Swiggy (6.0y, Hyderabad, Telangana). Score 0.704; top skills: Go, MLflow, FAISS, Pinecone. Notice 60d, response rate 91%."
CAND_0061257,16,0.4579,"Staff Machine Learning Engineer at LinkedIn (8.0y, Noida, Uttar Pradesh). Score 0.703; top skills: PEFT, Haystack, Time Series, Machine Learning. Notice 30d, response rate 87%."
CAND_0096104,17,0.4526,"AI Specialist at Yellow.ai (7.0y, Delhi, Delhi). Score 0.702; top skills: BM25, TTS, Hugging Face Transformers, MLOps. Notice 30d, response rate 33%."
CAND_0041669,18,0.4509,"Recommendation Systems Engineer at CRED (8.0y, Noida, Uttar Pradesh). Score 0.702; top skills: FAISS, Milvus, PEFT, Diffusion Models. Notice 60d, response rate 77%."
CAND_0015967,19,0.443,"Senior Software Engineer (ML) at Razorpay (5.4y, Hyderabad, Telangana). Score 0.701; top skills: QLoRA, YOLO, Pinecone, Object Detection. Notice 30d, response rate 45%."
CAND_0066376,20,0.4387,"Applied ML Engineer at Dream11 (5.7y, Mumbai, Maharashtra). Score 0.701; top skills: Recommendation Systems, LoRA, Learning to Rank, LLMs. Notice 90d, response rate 51%."
CAND_0002025,21,0.4291,"Senior AI Engineer at Apple (5.9y, Trivandrum, Kerala). Score 0.699; top skills: Diffusion Models, FAISS, TensorFlow, scikit-learn. Notice 30d, response rate 80%."
CAND_0011687,22,0.4186,"Senior NLP Engineer at Niramai (7.8y, Indore, Madhya Pradesh). Score 0.698; top skills: TensorFlow, OpenSearch, FAISS, PEFT. Notice 15d, response rate 89%."
CAND_0099401,23,0.4029,"NLP Engineer at Dream11 (7.7y, Ahmedabad, Gujarat). Score 0.696; top skills: BM25, Embeddings, ASR, Deep Learning. Notice 90d, response rate 42%."
CAND_0030031,24,0.3976,"AI Engineer at Microsoft (5.7y, Trivandrum, Kerala). Score 0.696; top skills: Information Retrieval, PyTorch, Object Detection, Python. Notice 30d, response rate 94%."
CAND_0067866,25,0.3941,"Senior Software Engineer (ML) at Tech Mahindra (6.4y, Noida, Uttar Pradesh). Score 0.695; top skills: Embeddings, Illustrator, pgvector, Elasticsearch. Notice 45d, response rate 79%."
CAND_0053605,26,0.3828,"Senior Software Engineer (ML) at Verloop.io (6.9y, Noida, Uttar Pradesh). Score 0.694; top skills: GraphQL, LangChain, CNN, pgvector. Notice 30d, response rate 88%."
CAND_0017960,27,0.3776,"Recommendation Systems Engineer at Nykaa (7.7y, Bangalore, Karnataka). Score 0.694; top skills: LlamaIndex, QLoRA, Hugging Face Transformers, Reinforcement Learning. Notice 60d, response rate 72%."
CAND_0088025,28,0.3601,"Staff Machine Learning Engineer at Yellow.ai (8.6y, Jaipur, Rajasthan). Score 0.692; top skills: Pinecone, QLoRA, LLMs, Hugging Face Transformers. Notice 90d, response rate 83%."
